Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2015-01-02,94.66506958007812,95.82377819510884,94.20526256951408,95.41915279675924,31314600
2015-01-05,93.27645874023438,94.36160366232875,93.00976980845454,94.2512474441823,36521300
2015-01-06,92.0257568359375,93.57070837026235,91.61193341371167,93.41437570107455,66205500
2015-01-07,93.21205139160156,93.43275672977097,92.41198489360514,92.63269724787077,37577400
2015-01-08,94.99609375,95.18001367530155,93.90175125099817,94.00290931474265,40212600
2015-01-09,94.37078094482422,95.31798213925899,93.8190069919404,95.29039484483425,41410100
2015-01-12,93.38680267333984,94.65586744263395,93.14770107352575,94.55470934333175,34129800
2015-01-13,93.35921478271484,95.29040989053617,92.60513154628593,94.29722503784491,56162300
2015-01-14,92.84424591064453,93.32244920882952,92.02578985931567,92.42122423369585,51354200
2015-01-15,91.63951873779297,93.42356478098746,91.52916255339156,93.27643021788224,51005400
2015-01-16,92.71548461914062,92.835031915176,91.37284900051215,91.51998359439429,35362200
2015-01-20,93.45118713378906,93.69028174759923,92.22809869998802,93.27645821007498,30964100
2015-01-21,93.92935943603516,94.37077717750117,92.84421479669888,93.17527634877415,40128800
2015-01-22,95.6674575805664,95.76861569695714,93.4695803537114,94.29723448049967,40887200
2015-01-23,95.87893676757812,96.17321290298052,95.38234447356848,95.65822440395395,34783000
2015-01-26,95.7685775756836,95.94330643737007,95.2811833995016,95.7685775756836,19960900
2015-01-27,93.2856216430664,94.31558455936646,92.97294931769235,94.26040997916357,45253200
2015-01-28,92.80745697021484,94.88578688317895,92.78906777456872,94.78462876687767,43591700
2015-01-29,93.699462890625,93.87419178270783,91.92460772272827,92.73386545640597,46539700
2015-01-30,92.97297668457031,94.33400853100001,92.8442312821362,93.61671071283907,42927600
2015-02-02,93.78221893310547,93.86498080783983,91.7314770606079,93.18446855655888,43624700
2015-02-03,94.68348693847656,94.74785965846026,93.50638176386026,94.12252165743281,30750400
2015-02-04,94.6006851196289,95.22602285690552,94.08569656086756,94.29721084651733,34073200
2015-02-05,95.41913604736328,95.48350873689866,94.60068027351474,94.8397748254479,23605500
2015-02-06,94.83978271484375,95.79618205042681,94.49953004875098,95.566278566376,34169300
2015-02-09,94.53629302978516,94.98690178716002,94.30638960025367,94.47192035016018,22604700
2015-02-10,96.0077133178711,96.1364587304151,94.91337029514827,95.06051191868357,23686500
2015-02-11,96.3571548461914,96.57786024408615,95.93413324351893,96.11805323908153,20303600
2015-02-12,97.47906494140625,97.51585033614592,96.83533807370354,96.9824726365656,22520300
2015-02-13,98.31594848632812,98.33433768156031,97.57105628159482,97.7549833144112,29030200
2015-02-17,98.40789794921875,98.47227064978152,98.0676382370451,98.31593795071451,17675300
2015-02-18,98.54582977294922,98.60100436229148,98.15958659926142,98.2883319851249,15149600
2015-02-19,99.03319549560547,99.09756816999491,98.45383441000513,98.48142169672985,19828100
2015-02-20,99.69532775878906,99.75050233739506,98.65615975440315,98.96883207072767,28336700
2015-02-23,99.7964859008789,99.82408020823738,99.41944789347073,99.64015323966323,17868000
2015-02-24,99.87007141113281,99.98962571235478,99.3642879592085,99.66775522392409,19745000
2015-02-25,99.6218032836914,100.10919766418863,99.40109083448196,99.72296140222093,19472300
2015-02-26,100.1275634765625,100.18274508402742,99.4470511240075,99.72293811303936,22255500
2015-02-27,99.68616485595703,100.15516998800052,99.52983215064201,100.0907902687666,27757600
2015-03-02,100.58737182617188,100.6241572262868,99.8608759601219,99.8792721682282,22988600
2015-03-03,100.11839294433594,100.3850818841954,99.48385694894274,100.28392376852115,20788900
2015-03-04,99.73214721679688,99.93446344315427,99.18957826074646,99.78732883422997,21007400
2015-03-05,99.90685272216797,100.21032699056316,99.4930292769725,99.98962162086539,15381000
2015-03-06,98.77569580078125,99.97118921856112,98.52739621068524,99.77807121298348,30990400
2015-03-09,99.06083679199219,99.30912952398342,98.57344241786556,98.9780678705957,26237100
2015-03-10,97.22159576416016,98.38031139919732,97.22159576416016,98.35271708494793,34234500
2015-03-11,96.66062927246094,97.48828328570869,96.62384387008348,97.36872897395739,25459700
2015-03-12,97.29517364501953,97.40552284564858,96.52269416012261,96.58706686585579,21473200
2015-03-13,96.87212371826172,97.58942844534202,96.26518219977491,97.2031852796535,42021100
2015-03-16,98.12279510498047,98.15958050095574,97.12961747803573,97.2307755629435,25674100
2015-03-17,98.27915954589844,98.43549225609686,97.62623438910029,97.85613790977986,19603800
2015-03-18,99.2447509765625,99.69536693256062,97.50668090656606,98.01247146285019,40622200
2015-03-19,99.39186096191406,99.667740891629,99.19874290628466,99.34587746558,31314000
2015-03-20,100.0352554321289,100.5329899767336,100.01682394480345,100.21038620677726,31761400
2015-03-23,99.84170532226562,100.25648064380269,99.80483531089234,99.97996610685651,17268500
2015-03-24,99.48221588134766,100.2933349074941,99.46378439467287,99.83247038604475,22445300
2015-03-25,97.20555877685547,99.73109476876999,97.1686887656742,99.6389232569346,41581400
2015-03-26,96.87372589111328,97.42676193831555,96.08103831163723,96.40364208648565,47846300
2015-03-27,97.2608642578125,97.49129656294896,96.70782813193217,96.85530818269272,33878400
2015-03-30,98.37613677978516,98.45908901221786,97.85075154434264,97.85075154434264,30570200
2015-03-31,97.3345718383789,98.30239001024076,97.30692109613717,98.09960852415668,30488100
2015-04-01,96.82763671875,97.35302198078607,96.2008607015636,97.33458346226726,32970500
2015-04-02,96.89215087890625,97.20553535006718,96.57875937551141,96.9198016225694,19164200
2015-04-06,97.68484497070312,97.95214019905882,96.1732029030338,96.32068292221496,24451100
2015-04-07,97.5189437866211,98.34849436949419,97.5189437866211,97.62954678047878,19379400
