Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.12498474121094,171.32579919572484,169.08980858140774,170.91172873180355,121465900
2015-01-05,167.0526123046875,169.24718101537695,166.74620416225187,169.08155533396388,169632600
2015-01-06,165.47911071777344,167.88071412827958,164.68408994172034,167.35898134910641,209151400
2015-01-07,167.54119873046875,167.88073956316435,166.35696320099726,166.80415376773578,125346700
2015-01-08,170.5142059326172,170.72953065352303,168.93246642029644,168.94902014003745,147217800
2015-01-09,169.1478271484375,170.94489189846533,168.53499815824603,170.92832553753288,158567300
2015-01-12,167.82275390625,169.43763882404554,167.21821456736416,169.28029002598933,144396100
2015-01-13,167.3507537841797,170.16642844907784,166.0505662011731,169.04015605583254,214553300
2015-01-14,166.34039306640625,166.53915144512624,164.44395583561231,165.33833694878177,192991100
2015-01-15,164.816650390625,167.29278426938683,164.70071113847325,166.97809923436395,176613900
2015-01-16,166.9781036376953,167.13545247757153,164.4274273866629,164.60961945005315,211879600
2015-01-20,167.33413696289062,167.8807129528235,165.76895127275668,167.61570181718582,130991100
2015-01-21,168.1788787841797,168.6592020890844,166.40665751815214,166.8704144645625,122942700
2015-01-22,170.67987060546875,170.8123635660142,167.55777539756028,168.9324925342067,174356000
2015-01-23,169.74407958984375,170.67988306168206,169.61157398319884,170.42314871014622,117516800
2015-01-26,170.1416015625,170.23269759703916,168.81658326680397,169.528785181447,92009700
2015-01-27,167.89730834960938,169.04013431955212,167.0691673621353,168.0877772385284,134044600
2015-01-28,165.74412536621094,169.18090517407325,165.55365649034815,169.08153230604532,168514300
2015-01-29,167.27618408203125,167.53290573788595,164.53502710249373,165.94287673441366,173585400
2015-01-30,165.17271423339844,167.42525868672465,164.9077156934692,166.1002407142217,197729700
2015-02-02,167.21823120117188,167.30932721771725,163.85598072283597,165.66961155632973,163107000
2015-02-03,169.63638305664062,169.64467255315608,167.7399459094598,168.11260679625465,124212900
2015-02-04,168.9904327392578,170.0835848102543,168.53495270967596,168.87449351685765,134306700
2015-02-05,170.69638061523438,170.84545253276332,169.57839809768427,169.65292773823575,97953200
2015-02-06,170.22442626953125,171.62398692003654,169.70269326962097,171.06084433281987,125672000
2015-02-09,169.46250915527344,170.29892707677755,169.05671548674957,169.57844839821885,87219000
2015-02-10,171.26785278320312,171.52457449325172,169.50390825922682,170.49768765305734,96164200
2015-02-11,171.36720275878906,171.79783959611729,170.45625528479763,171.10220422257584,91087800
2015-02-12,173.01519775390625,173.07317368320975,171.40032550339623,172.16221362577974,97545900
2015-02-13,173.7273712158203,173.77705764062017,172.88266408494664,173.1393983404549,93670400
2015-02-17,174.0006866455078,174.17460179617606,173.16426887773315,173.41270104093434,76968200
2015-02-18,174.01727294921875,174.09180260672233,173.3630344806547,173.62804566701706,80652900
2015-02-19,173.89306640625,174.25745051578036,173.28025007334028,173.42103254539876,91462500
2015-02-20,174.93653869628906,175.0110683660321,172.85789635073897,173.47900220479303,140896400
2015-02-23,174.91168212890625,174.91168212890625,174.30713004551836,174.68808050030484,74411100
2015-02-24,175.4085693359375,175.60732775468037,174.53901862902975,174.83714993892866,72472300
2015-02-25,175.2594757080078,175.76464219992837,174.91993488108469,175.28431892593602,73061700
2015-02-26,175.05247497558594,175.32576306309747,174.44792285634952,175.16841422758196,72697900
2015-02-27,174.45619201660156,175.21808024610087,174.406505576743,174.95306905161627,108076000
2015-03-02,175.5576171875,175.6155804872333,174.50587456702831,174.55556100577942,87491400
2015-03-03,174.8370819091797,175.6072594252525,173.97582103594183,175.1269362441758,110325800
2015-03-04,174.10006713867188,174.3153918714502,173.1311437504533,174.2408495827965,114497200
2015-03-05,174.29055786132812,174.57212276445165,173.78539135328714,174.4230508156971,76873000
2015-03-06,171.83924865722656,173.8599146150726,171.50799732884414,173.4292777790329,188128000
2015-03-09,172.55145263671875,172.90754718755318,171.88066047431653,172.03800928010043,89818900
2015-03-10,169.75234985351562,171.26784949998202,169.71094027349486,171.18504297637017,157121300
2015-03-11,169.3547821044922,170.18292284827945,169.2719629755435,170.00900773205714,110145700
2015-03-12,171.5079803466797,171.57422049665473,169.93450510159317,169.98419153228792,93993500
2015-03-13,170.45626831054688,172.19535687729632,169.42109203161417,171.23472289413294,162410900
2015-03-16,172.73362731933594,172.82472332214812,170.48108310109575,171.18500790795596,136099200
2015-03-17,172.22021484375,172.60115264266457,171.4086275328932,171.99661322656053,94510400
2015-03-18,174.29055786132812,174.96135003965182,171.11048686432775,171.74815896316636,228808500
2015-03-19,173.49557495117188,174.29887289622786,173.1063475907249,173.876525449042,117917300
2015-03-20,175.02694702148438,175.53436844942433,174.2616579764139,174.44466325815185,177715100
2015-03-23,174.68592834472656,175.60926875940504,174.68592834472656,175.0352986782756,71784500
2015-03-24,173.70436096191406,175.01865340630465,173.63781242033892,174.56115280883478,77805300
2015-03-25,171.158935546875,174.14524279752095,171.11735381250836,173.91232923658438,159521700
2015-03-26,170.7512969970703,171.66631068398317,169.79467620136552,170.4934293880964,153067200
2015-03-27,171.14222717285156,171.31690591470925,170.4434741269275,170.6348058632131,118939000
2015-03-30,173.2301788330078,173.52964087435808,172.15711392232274,172.17374153535073,96180400
2015-03-31,171.71620178222656,173.10538151826552,171.65797975995795,172.40662840121527,126768700
2015-04-01,171.10894775390625,171.7078716872257,170.11905923375795,171.6829175810733,137303600
2015-04-02,171.7245330810547,172.17371973980016,170.8594149854099,171.0424202482258,86900900
2015-04-06,172.88087463378906,173.3966100771019,170.70146336782645,170.8345477870806,114368200
2015-04-07,172.42330932617188,173.65442551024032,172.39004140458533,172.90577669260682,81236300
2015-04-08,173.00559997558594,173.4464729378044,172.2569511284169,172.64791585986887,89351900
2015-04-09,173.77084350585938,174.00375698350715,172.34840853114136,172.8391895952683,85548900
2015-04-10,174.7191925048828,174.76078693025497,173.82081891959464,174.02045185284246,72722900
2015-04-13,173.92893981933594,175.2099769718649,173.87903158871407,174.5777722030921,74436600
2015-04-14,174.2616729736328,174.44467827112047,173.10541915377996,173.72929738807832,75099900
2015-04-15,175.04356384277344,175.55098523943107,174.64428538579418,174.72747421521345,99529300
2015-04-16,174.9936981201172,175.50111964000402,174.51123071654968,174.71087633994063,68934900
2015-04-17,172.98062133789062,174.04537241941927,172.19869198583558,173.8041451072998,191113200
2015-04-20,174.5611572265625,174.89388725002235,173.82082213545306,173.90399829489962,92189500
2015-04-21,174.3532257080078,175.40133687329433,174.05376356180614,175.24328564434916,72559800
2015-04-22,175.2099609375,175.39296622825637,173.77087272447622,174.69421298498898,78264600
2015-04-23,175.6508331298828,176.29966545157106,174.6942122607432,174.81066901866583,102585900
2015-04-24,176.0584259033203,176.32462003232672,175.60923917666534,176.06675240287345,61327400
2015-04-27,175.32643127441406,176.7488665984701,175.13509946927405,176.6240960236707,79358100
2015-04-28,175.88375854492188,175.93366677414596,174.1285805578068,175.30147471591496,86863500
2015-04-29,175.16006469726562,175.7589761437368,174.35318113994506,174.9936870085861,125684900
2015-04-30,173.4048614501953,174.9770339137259,172.7061082608666,174.58606924936552,161304900
2015-05-01,175.2848358154297,175.32643023772877,174.08698753309534,174.18680399234466,103399700
2015-05-04,175.783935546875,176.3662193542195,175.6009302513046,175.7090605129889,70927200
2015-05-05,173.77084350585938,175.90035810451877,173.62943265820414,175.5426613898816,113326200
2015-05-06,173.0554962158203,174.62766884021258,171.99074505712267,174.31989297658694,135060200
2015-05-07,173.74591064453125,174.17015593221083,172.62293753129305,172.95566748495605,88244900
2015-05-08,176.03347778320312,176.23312338675464,175.33473721002545,175.4179260513807,155877300
2015-05-11,175.1933135986328,176.25806468783728,175.11845126255614,175.99188326195326,75708100
2015-05-12,174.6692657470703,175.20996783389103,173.53796603824514,174.36148987906336,119727600
2015-05-13,174.70249938964844,175.70070176015165,174.4695859262921,175.07682369198315,94667900
2015-05-14,176.5242919921875,176.61579465109463,175.4429003940587,175.7174083707801,95934000
2015-05-15,176.71563720703125,176.85704812024892,176.2331697245507,176.71563720703125,76510100
2015-05-18,177.26463317871094,177.51417435447638,176.48270364708046,176.5492521915636,74549700
2015-05-19,177.20639038085938,177.6555898624759,176.9235685993002,177.38108188878502,72114600
2015-05-20,177.08155822753906,177.8302068461468,176.76545593874235,177.30614519742218,76857500
2015-05-21,177.5973358154297,177.80529522504963,176.7738119839141,176.9401896658781,64764600
2015-05-22,177.17312622070312,177.63062682707135,177.1065776778336,177.21470795376445,57433500
2015-05-26,175.2681884765625,177.1065552486118,174.85226965592858,176.68230992815077,124308600
2015-05-27,176.93190002441406,177.164813596282,175.31813263873076,175.7257377359185,93214000
2015-05-28,176.73216247558594,176.84029269599014,176.04173597730127,176.62401956235152,74974600
2015-05-29,175.63414001464844,176.70720462623106,175.36795865921735,176.66562291241712,124919600
2015-06-01,175.99191284179688,176.6324187485515,175.20165685205126,176.29968873706432,93338800
2015-06-02,175.81719970703125,176.50762645412786,174.91049974835676,175.5343779627752,91531000
2015-06-03,176.2830352783203,176.90691352294607,175.79225410549518,176.34958381422064,87820900
2015-06-04,174.7940673828125,176.23314311090797,174.47796498168626,175.5759968848596,151882800
2015-06-05,174.49461364746094,175.16840021447948,173.8374546971027,174.6443383544263,121704700
2015-06-08,173.42152404785156,174.53619623751186,173.34666169944614,174.38645884786473,89063300
2015-06-09,173.39659118652344,173.9372933856817,172.7643990122124,173.39659118652344,105034700
2015-06-10,175.4761505126953,175.85880141825191,174.10362346119902,174.16184549668475,134551300
2015-06-11,176.04176330566406,176.42440142402697,175.68406660249994,175.91698007267706,73876400
2015-06-12,174.69422912597656,175.9170315486328,174.41972116447866,175.21829093363948,135382400
2015-06-15,173.94558715820312,174.22840893838293,172.8475552687948,173.55462241208073,124384200
2015-06-16,174.89385986328125,174.977048702538,173.6211493182285,173.795828110699,85308200
2015-06-17,175.17666625976562,175.78391680889797,174.1535096292943,175.17666625976562,126708600
2015-06-18,176.99842834472656,177.46425543522668,175.20998233094872,175.77562588574565,165867900
2015-06-19,176.21266174316406,176.83122034648056,175.83651658427985,176.75599386561865,130478700
2015-06-22,177.1154327392578,177.7005488974588,176.90646177171635,177.13215398794233,70696000
2015-06-23,177.2407989501953,177.57516012975066,176.84794529040192,177.32439243372787,68476800
2015-06-24,175.9535675048828,177.34949213933672,175.92849200731476,176.97334692123923,92307300
2015-06-25,175.41859436035156,176.5804724618703,175.34336787105184,176.4550949797041,97107400
2015-06-26,175.38516235351562,176.02042951258704,174.83347592995116,175.77801604409242,104174800
2015-06-29,171.707275390625,175.39352658346507,171.63204889801438,173.9056542082529,202621300
