Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-02,39.6817512512207,40.241844294654165,39.495055728243784,39.59688994416314,27913900
2015-01-05,39.316829681396484,39.65627801426781,39.248938072472164,39.35077224860855,39673900
2015-01-06,38.739768981933594,39.673256065034195,38.64641962617343,39.359265426136794,36447900
2015-01-07,39.23196792602539,39.427151459518015,38.60398668561439,39.01981148910945,29114100
2015-01-08,40.38608932495117,40.521869281010126,39.647786016208705,39.673243746329284,29645200
2015-01-09,40.04666519165039,40.58130055040019,39.80056607867186,40.40308984323416,23944200
2015-01-12,39.54595947265625,40.34366976598798,39.342291101305875,40.2418323430624,23651900
2015-01-13,39.342281341552734,40.65765030748869,39.08769432189571,39.859943449296786,35270600
2015-01-14,39.00285339355469,39.2404708944449,38.71432040031423,39.00285339355469,29719600
2015-01-15,38.59550094604492,39.35926545996587,38.53609739910112,39.223485461629984,32750800
2015-01-16,39.24045944213867,39.27440201471554,38.33242683413216,38.4512371685283,35695300
2015-01-20,39.367740631103516,39.58838509752569,38.67186790577153,39.29136419845734,36161900
2015-01-21,38.96889877319336,39.155597502318244,38.59550455219441,38.985871679227515,39081100
2015-01-22,39.99573516845703,40.00422000213215,39.10467871904467,39.35926581355527,35898000
2015-01-23,40.03816604614258,40.216376689620084,39.71568733133765,40.19091895119488,26211600
2015-01-26,39.893890380859375,39.99572778967614,39.24045147915981,39.88540554874962,42525500
2015-01-27,36.20237350463867,36.66063217568163,35.73563000068763,36.44847574322658,169164000
2015-01-28,34.954891204833984,36.31269425891968,34.92943346990898,36.27026362162797,84507100
2015-01-29,35.6507568359375,35.74410616152979,34.61543589807172,34.73424295346211,63585300
2015-01-30,34.28447723388672,35.28585575049058,34.24204336198408,35.260394779899016,78004900
2015-02-02,35.03125762939453,35.107634049579225,34.14020155207257,34.445707232811344,50352500
2015-02-03,35.302825927734375,35.582873947563144,34.83608246526973,35.32828689869606,52082400
2015-02-04,35.50650405883789,35.82049470245216,35.099164058061135,35.59136534503075,41614800
2015-02-05,36.024166107177734,36.185403844885286,35.52347675221682,35.82898256029474,36548200
2015-02-06,35.990230560302734,36.312709364920394,35.76958921224947,36.21935998169543,34616600
2015-02-09,35.947792053222656,36.27027078740073,35.82049687894819,35.84595785615354,31381100
2015-02-10,36.15145492553711,36.29572298349584,35.795033671610106,36.270265247429705,29670700
2015-02-11,35.96475601196289,36.1938853263058,35.82048796785812,36.1938853263058,38262500
2015-02-12,36.56728744506836,36.56728744506836,36.075082905738164,36.20237807618581,33268800
2015-02-13,37.22922134399414,37.22922134399414,36.61821283139051,36.81339642098276,40264900
2015-02-17,37.246299743652344,37.60525745441533,36.912977677573544,37.579618549443126,33695700
2015-02-18,37.20357131958008,37.348866084116686,37.08391872542562,37.28903978703946,27111700
2015-02-19,37.17792892456055,37.20356783225073,36.79332900776604,36.904436374904094,27603400
2015-02-20,37.48562240600586,37.502716104073414,36.99846342209384,37.186487580257904,29721100
2015-02-23,37.733455657958984,37.76763977525135,37.30612321907061,37.34885581090189,32518800
2015-02-24,37.682186126708984,37.861665023514405,37.536891357660245,37.73346720877715,25271700
2015-02-25,37.59672164916992,37.68218686065939,37.43433318293555,37.5625342604586,29759800
2015-02-26,37.656551361083984,37.80184288583777,37.51125657604107,37.59672505556312,28957300
2015-02-27,37.47706985473633,37.776204647981636,37.31468463117289,37.71637834139041,33807700
2015-03-02,37.50270080566406,37.76764486690921,37.22065979303615,37.32321867931529,31924000
2015-03-03,36.989906311035156,37.45997474747506,36.82752110772151,37.229214767846955,31748600
2015-03-04,36.801883697509766,36.93008151789403,36.64804370481752,36.759147830426095,25748700
2015-03-05,36.84461975097656,36.95572714726773,36.59676604397675,36.8104323582271,23193500
2015-03-06,36.203617095947266,36.844615972971006,36.02413819284995,36.750602282694636,36248800
2015-03-09,36.62240219116211,36.86171066203674,36.058323294575224,36.058323294575224,32108000
2015-03-10,35.92157745361328,36.5027500527161,35.92157745361328,36.195070057862964,39159700
2015-03-11,35.878849029541016,36.21216797607248,35.75919640876453,36.1608901444765,32215300
2015-03-12,35.05835723876953,35.596797079342714,34.921610974846445,35.32330455149655,59992500
2015-03-13,35.36603546142578,35.442955434983,34.70794307883357,34.78486305239079,58007700
2015-03-16,35.5198860168457,35.588257535822976,35.280577549702954,35.4429660203157,35273500
2015-03-17,35.63954162597656,35.75064902151004,35.16947638988919,35.357500528150624,31673400
2015-03-18,36.32325744628906,36.60529842198662,35.323301100352886,35.40876628434669,44194800
2015-03-19,36.14379119873047,36.4001901003468,36.083964897029624,36.11814902636659,33879100
2015-03-20,36.64804458618164,36.733509801826536,36.314725680761946,36.37455198377117,71904500
2015-03-23,36.630958557128906,36.86171860001043,36.5625837620723,36.648052255893056,26246100
2015-03-24,36.66513442993164,36.89589113999116,36.536933359642,36.562572269584464,25513300
2015-03-25,35.43441390991211,36.690772637666605,35.41732021684806,36.68222416099029,43469900
2015-03-26,35.22074508666992,35.5626124026187,34.972891445621485,35.229293562727236,37495600
2015-03-27,35.015625,35.40877010525566,34.89597242538203,35.14382278982434,34401400
2015-03-30,35.007080078125,35.50278737790586,34.96434747717904,35.12673266488908,35049700
2015-03-31,34.75067138671875,35.066896456655215,34.648112521388356,34.85323025204915,34887200
2015-04-01,34.801963806152344,34.836147932225785,34.45155124666279,34.699401647066175,36865300
2015-04-02,34.43446350097656,34.819063513256,34.28916871398692,34.75068872872224,37487500
2015-04-06,35.51133728027344,35.70790987879656,34.34044690633619,34.477193203582225,39223700
2015-04-07,35.49425506591797,35.81902884953116,35.306230884070295,35.56262986680073,28809400
2015-04-08,35.40022659301758,35.63098655940065,35.07545620503127,35.434413979212536,24753400
2015-04-09,35.45149230957031,35.571144849113196,35.25491981456598,35.25491981456598,25723900
2015-04-10,35.6566276550293,35.853200229295624,35.39168031043286,35.57970766855217,28022000
2015-04-13,35.69080352783203,35.947205596998714,35.374578438890936,35.383126913349955,30276700
2015-04-14,35.5968017578125,35.921572139634165,35.374587012051855,35.724999563177306,24244400
2015-04-15,36.118141174316406,36.28907482499612,35.62243717366228,35.69080867776123,27343600
2015-04-16,36.03267288208008,36.186512828440314,35.74208667898718,35.85319403142245,22509700
2015-04-17,35.57115936279297,35.67372151878025,35.17801421237394,35.61389196431008,42387600
2015-04-20,36.673683166503906,36.8958946813405,35.62244537421012,35.665177981645364,46057700
2015-04-21,36.442928314208984,36.87880944827984,36.348914608417644,36.750608347602665,26013800
2015-04-22,36.7420654296875,36.86171805899074,36.36601058297489,36.46856951376486,25064300
2015-04-23,37.04119110107422,37.27195110380127,36.579671095620114,36.65659109652913,46309500
2015-04-24,40.91281509399414,41.1435750490862,39.01546089705123,39.02400611303756,130933700
2015-04-27,41.04956817626953,41.13503665174244,40.357291456528316,40.36583667393112,59248200
2015-04-28,42.01533508300781,42.058067684828686,40.76752485222254,40.835896363078234,60730800
2015-04-29,41.929866790771484,42.14353304442552,41.45125320888266,41.639280555390464,47804600
2015-04-30,41.57091522216797,42.34011521397751,41.53672783135665,41.62219630838495,64725500
